Influencer,link,Follower count,Following count,Like count,video 1,video 2,video 3,Average Views,Multiplier
chelseapre,https://www.tiktok.com/@chelseapre,,,,,,,,
lyricsmusiconcerts,https://www.tiktok.com/@lyricsmusiconcerts,,,,,,,,
naii.elyy,https://www.tiktok.com/@naii.elyy,,,,,,,,
rosee_20,https://www.tiktok.com/@rosee_20,,,,,,,,
tooloo9,https://www.tiktok.com/@tooloo9,,,,,,,,
zusjeofficial,https://www.tiktok.com/@zusjeofficial,,,,,,,,
makayla.domagalski1,https://www.tiktok.com/@makayla.domagalski1,,,,,,,,
LIANAKRAMIREZ,https://www.tiktok.com/@LIANAKRAMIREZ,,,,,,,,
rosee_20,https://www.tiktok.com/@rosee_20,,,,,,,,
Michelo2.0,https://www.tiktok.com/@Michelo2.0,,,,,,,,
